serie_id,score,nivel_alerta,c1_desviacion,c2_cusum,c3_engine_date,c4_if,c5_error_prev,c6_crecimiento,c7_costo,razones,cusum_final,z_score_reciente,aceleracion_3m,cohorte_ratio_max,if_score_reciente,fecha_calculo
211evo2||Throttle valve control part||ELECTRICAL FAULT,3.58130592126678,BAJA,5.858981352367368e-09,0.0,0.0,0.11051377372413007,0.0438474381999999,0.09211979216964249,0.01983247034265408,Normal,0.0,0.4120816884498409,1.7878279244216398e-16,1.0,0.08333520669009553,2026-05-14 05:54
211evo2||High pressure pump||ELECTRICAL FAULT,3.532058588849278,BAJA,5.860512017421356e-09,2.1128996668975222e-08,0.0,0.1284978842717313,0.1059642037255316,0.0,0.03599400268029362,Normal,6.338698968999072,0.4121893452253047,-0.4999999999999999,1.0,0.09689649881792595,2026-05-14 05:54
"888evo4||Impulse sender for crankshaft||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.5106970753613265,BAJA,2.7150310239875996e-08,5.2609901953043664e-08,0.0,0.17513921839175658,0.025217502086408015,0.0,0.035144231481618035,Normal,15.782970506998247,1.9095718202046241,-0.4999999999999999,1.0,0.13206736565391597,2026-05-14 05:54
"888evo4||Engine wiring loom||CABLE (PINCHED, SHORT CIRCUIT)",3.4902706372628325,BAJA,0.0,0.0,0.0,0.1123064363774745,0.0600394285093891,0.07129793482784497,0.015636464477216904,Normal,0.0,0.0,0.0,1.0,0.08468700120138417,2026-05-14 05:54
888evo4||Camshaft adjuster||ELECTRICAL FAULT,3.448607600055468,BAJA,0.0,0.0,0.0,0.058719170616012756,0.07576526872399471,0.13681720865984973,0.006365313553138428,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.04427841032893772,2026-05-14 05:54
888G3||High pressure pump||LEAKING,3.4240180509631775,BAJA,0.0,0.0,0.0,0.08403809997071472,0.025975973341252546,0.1434048089300272,0.001844113861021938,Normal,0.0,0.0,0.0,1.0,0.06337067493853288,2026-05-14 05:54
"211evo2||Hydraulic bucket tappet||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.4034264512760406,BAJA,0.0,0.0,0.0,0.0876013346980028,0.17279270634189176,0.009295367490415173,0.009341536013261705,Normal,0.0,0.0,0.0,1.0,0.06605760610084321,2026-05-14 05:54
"211evo2||Camshaft sprocket||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.3983329056201663,BAJA,0.0,2.0710676722208146e-09,0.0,0.04214488077844011,0.035529192337356075,0.18319467449982066,0.01603023471700723,Normal,0.6213202985596429,0.0,2.0553579095097192e-16,1.0,0.03178022279257198,2026-05-14 05:54
"888G3||Coolant pipe||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",3.3938344656492045,BAJA,0.0,0.0,0.0,0.05662641010677172,0.24204567952400127,0.0,0.0013410873242590388,Normal,0.0,0.0,0.0,1.0,0.042700320795719726,2026-05-14 05:54
888G3||Spark plug||ELECTRICAL FAULT,3.365166480065239,BAJA,0.0,0.0,0.0,0.09042863120674677,0.0439840286577006,0.11084976198577397,0.0072302898930312895,Normal,0.0,-0.04622501590338433,1.1595000242635226e-16,1.0,0.0681895877624098,2026-05-14 05:54
