serie_id,mes_dt,tipo,fallas_central,fallas_lo,fallas_hi,costo_central,costo_lo,costo_hi
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2026-03-01,Forecast ML,2.1332216024398805,0.0,75.0079198869275,440.8409102522135,0.0,15500.761684233003
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2024-07-01,Histórico,2.0,2.0,2.0,503.58000000000004,503.58000000000004,503.58000000000004
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2024-10-01,Histórico,1.0,1.0,1.0,0.0,0.0,0.0
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2024-11-01,Histórico,1.0,1.0,1.0,0.0,0.0,0.0
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2025-01-01,Histórico,1.0,1.0,1.0,168.98,168.98,168.98
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2025-03-01,Histórico,1.0,1.0,1.0,142.21,142.21,142.21
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2025-04-01,Forecast ML,2.244628667831421,0.0,31.995599660543306,446.41174945831295,0.0,6363.284860488852
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2025-05-01,Forecast ML,2.637606143951416,0.0,44.71183281561311,524.5671099090576,0.0,8892.289310369135
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2025-06-01,Forecast ML,2.5974032878875732,0.0,54.12759662177243,516.5715658950805,0.0,10764.8964161381
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2025-07-01,Forecast ML,2.7381298542022705,0.0,62.24007183962604,544.5592654037475,0.0,12378.305487464826
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2025-08-01,Forecast ML,2.491201400756836,0.0,69.01639493708501,495.4501345825195,0.0,13725.980625087466
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,2025-09-01,Forecast ML,2.1242878437042236,0.0,74.99898612819185,422.478366355896,0.0,14915.798361174793
211evo2||Activated charcoal filter pipe||LEAKING,2024-03-01,Histórico,2.0,2.0,2.0,106.53,106.53,106.53
211evo2||Activated charcoal filter pipe||LEAKING,2024-07-01,Histórico,1.0,1.0,1.0,268.11,268.11,268.11
211evo2||Activated charcoal filter pipe||LEAKING,2025-10-01,Histórico,1.0,1.0,1.0,601.58,601.58,601.58
211evo2||Activated charcoal filter pipe||LEAKING,2025-11-01,Forecast ML,2.0222201347351074,0.0,31.773191127446992,378.6506091284752,0.0,5949.371172658813
211evo2||Activated charcoal filter pipe||LEAKING,2025-12-01,Forecast ML,1.8159409761428833,0.0,43.890167647804574,340.0258680778742,0.0,8218.214441213167
211evo2||Activated charcoal filter pipe||LEAKING,2026-01-01,Forecast ML,1.7643420696258545,0.0,53.294535403510714,330.36423082709314,0.0,9979.135281630364
211evo2||Activated charcoal filter pipe||LEAKING,2026-02-01,Forecast ML,2.5126845836639404,0.0,62.01462656908771,470.4876248681545,0.0,11611.928751928828
211evo2||Activated charcoal filter pipe||LEAKING,2026-03-01,Forecast ML,3.0,0.0,69.52519353632817,561.735,0.0,13018.24486370977
211evo2||Activated charcoal filter pipe||LEAKING,2026-04-01,Forecast ML,3.0,0.0,75.87469828448762,561.735,0.0,14207.157880278884
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-03-01,Histórico,1.0,1.0,1.0,270.61,270.61,270.61
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-07-01,Histórico,1.0,1.0,1.0,278.37,278.37,278.37
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-08-01,Histórico,2.0,2.0,2.0,541.9,541.9,541.9
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-10-01,Histórico,1.0,1.0,1.0,179.77,179.77,179.77
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-11-01,Histórico,1.0,1.0,1.0,359.53,359.53,359.53
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-01-01,Histórico,1.0,1.0,1.0,230.12,230.12,230.12
